time[YYYY-MM-DD hh:mm:ss PST], water_temperature,depth
5/27/16 12:54,8.708,35
5/27/16 14:54,8.642,35
5/27/16 16:54,8.927,35
5/27/16 18:54,9.29,35
5/27/16 20:54,9.213,35
5/27/16 22:54,8.969,35
5/28/16 0:54,8.759,35
5/28/16 2:54,8.705,35
5/28/16 4:54,8.879,35
5/28/16 6:54,9.167,35
5/28/16 8:54,9.331,35
5/28/16 10:54,9.041,35
5/28/16 12:54,8.885,35
5/28/16 14:54,8.902,35
5/28/16 16:54,8.875,35
5/28/16 18:54,9.082,35
5/28/16 20:54,9.365,35
5/28/16 22:54,9.206,35
5/29/16 0:54,8.949,35
5/29/16 2:54,8.802,35
5/29/16 4:54,8.859,35
5/29/16 6:54,9.206,35
5/29/16 8:54,9.413,35
5/29/16 10:54,9.347,35
5/29/16 12:54,8.762,35
5/29/16 14:54,8.651,35
5/29/16 16:54,8.709,35
5/29/16 18:54,8.977,35
5/29/16 20:54,9.248,35
5/29/16 22:54,9.314,35
5/30/16 0:54,8.875,35
5/30/16 2:54,8.644,35
5/30/16 4:54,8.591,35
5/30/16 6:54,8.752,35
5/30/16 8:54,8.852,35
5/30/16 10:54,9.511,35
5/30/16 12:54,8.889,35
5/30/16 14:54,8.728,35
5/30/16 16:54,8.535,35
5/30/16 18:54,8.856,35
5/30/16 20:54,9.324,35
5/30/16 22:54,9.096,35
5/31/16 0:54,8.708,35
5/31/16 2:54,8.577,35
5/31/16 4:54,8.397,35
5/31/16 6:54,8.312,35
5/31/16 8:54,8.486,35
5/31/16 10:54,8.657,35
5/31/16 12:54,8.515,35
5/31/16 14:54,8.594,35
5/31/16 16:54,8.471,35
5/31/16 18:54,8.455,35
5/31/16 20:54,8.473,35
5/31/16 22:54,8.528,35
6/1/16 0:54,8.442,35
6/1/16 2:54,8.425,35
6/1/16 4:54,8.397,35
6/1/16 6:54,8.422,35
6/1/16 8:54,8.412,35
6/1/16 10:54,8.482,35
6/1/16 12:54,8.517,35
6/1/16 14:54,8.413,35
6/1/16 16:54,8.44,35
6/1/16 18:54,8.403,35
6/1/16 20:54,8.393,35
6/1/16 22:54,8.481,35
6/2/16 0:54,8.659,35
6/2/16 2:54,8.633,35
6/2/16 4:54,8.57,35
6/2/16 6:54,8.426,35
6/2/16 8:54,8.352,35
6/2/16 10:54,8.431,35
6/2/16 12:54,8.56,35
6/2/16 14:54,8.701,35
6/2/16 16:54,8.614,35
6/2/16 18:54,8.456,35
6/2/16 20:54,8.41,35
6/2/16 22:54,8.493,35
6/3/16 0:54,8.666,35
6/3/16 2:54,8.566,35
6/3/16 4:54,8.553,35
6/3/16 6:54,8.508,35
6/3/16 8:54,8.439,35
6/3/16 10:54,8.516,35
6/3/16 12:54,8.683,35
6/3/16 14:54,8.713,35
6/3/16 16:54,8.59,35
6/3/16 18:54,8.481,35
6/3/16 20:54,8.453,35
6/3/16 22:54,8.572,35
6/4/16 0:54,8.545,35
6/4/16 2:54,8.503,35
6/4/16 4:54,8.426,35
6/4/16 6:54,8.384,35
6/4/16 8:54,8.351,35
6/4/16 10:54,8.387,35
6/4/16 12:54,8.5,35
6/4/16 14:54,8.495,35
6/4/16 16:54,8.464,35
6/4/16 18:54,8.363,35
6/4/16 20:54,8.166,35
6/4/16 22:54,8.15,35
6/5/16 0:54,8.449,35
6/5/16 2:54,8.466,35
6/5/16 4:54,8.262,35
6/5/16 6:54,8.309,35
6/5/16 8:54,8.311,35
6/5/16 10:54,8.196,35
6/5/16 12:54,8.172,35
6/5/16 14:54,8.263,35
6/5/16 16:54,8.306,35
6/5/16 18:54,8.372,35
6/5/16 20:54,8.368,35
6/5/16 22:54,8.258,35
6/6/16 0:54,8.204,35
6/6/16 2:54,8.26,35
6/6/16 4:54,8.338,35
6/6/16 6:54,8.286,35
6/6/16 8:54,8.373,35
6/6/16 10:54,8.403,35
6/6/16 12:54,8.371,35
6/6/16 14:54,8.346,35
6/6/16 16:54,8.557,35
6/6/16 18:54,8.26,35
6/6/16 20:54,8.116,35
6/6/16 22:54,8.061,35
6/7/16 0:54,8.273,35
6/7/16 2:54,8.405,35
6/7/16 4:54,8.428,35
6/7/16 6:54,8.222,35
6/7/16 8:54,7.98,35
6/7/16 10:54,8.038,35
6/7/16 12:54,8.027,35
6/7/16 14:54,8.195,35
6/7/16 16:54,8.362,35
6/7/16 18:54,8.311,35
6/7/16 20:54,8.027,35
6/7/16 22:54,7.892,35
6/8/16 0:54,7.861,35
6/8/16 2:54,7.88,35
6/8/16 4:54,8.019,35
6/8/16 6:54,7.974,35
6/8/16 8:54,7.945,35
6/8/16 10:54,7.935,35
6/8/16 12:54,7.862,35
6/8/16 14:54,7.812,35
6/8/16 16:54,7.912,35
6/8/16 18:54,7.998,35
6/8/16 20:54,7.981,35
6/8/16 22:54,7.936,35
6/9/16 0:54,7.904,35
6/9/16 2:54,7.904,35
6/9/16 4:54,7.98,35
6/9/16 6:54,8.045,35
6/9/16 8:54,7.986,35
6/9/16 10:54,7.951,35
6/9/16 12:54,7.863,35
6/9/16 14:54,7.908,35
6/9/16 16:54,7.987,35
6/9/16 18:54,8.206,35
6/9/16 20:54,8.295,35
6/9/16 22:54,8.109,35
6/10/16 0:54,8.086,35
6/10/16 2:54,8.064,35
6/10/16 4:54,8.121,35
6/10/16 6:54,8.239,35
6/10/16 8:54,8.302,35
6/10/16 10:54,8.336,35
6/10/16 12:54,8.338,35
6/10/16 14:54,8.237,35
6/10/16 16:54,8.211,35
6/10/16 18:54,8.305,35
6/10/16 20:54,8.503,35
6/10/16 22:54,8.537,35
6/11/16 0:54,8.39,35
6/11/16 2:54,8.306,35
6/11/16 4:54,8.344,35
6/11/16 6:54,8.382,35
6/11/16 8:54,8.414,35
6/11/16 10:54,8.384,35
6/11/16 12:54,8.38,35
6/11/16 14:54,8.044,35
6/11/16 16:54,7.998,35
6/11/16 18:54,8.036,35
6/11/16 20:54,8.203,35
6/11/16 22:54,8.244,35
6/12/16 0:54,8.222,35
6/12/16 2:54,8.23,35
6/12/16 4:54,8.1,35
6/12/16 6:54,8.067,35
6/12/16 8:54,8.273,35
6/12/16 10:54,8.337,35
6/12/16 12:54,8.237,35
6/12/16 14:54,8.129,35
6/12/16 16:54,8.105,35
6/12/16 18:54,8.191,35
6/12/16 20:54,8.514,35
6/12/16 22:54,8.489,35
6/13/16 0:54,8.236,35
6/13/16 2:54,8.089,35
6/13/16 4:54,8.079,35
6/13/16 6:54,8.114,35
6/13/16 8:54,8.417,35
6/13/16 10:54,8.556,35
6/13/16 12:54,8.401,35
6/13/16 14:54,8.16,35
6/13/16 16:54,8.156,35
6/13/16 18:54,8.139,35
6/13/16 20:54,8.158,35
6/13/16 22:54,8.367,35
6/14/16 0:54,8.369,35
6/14/16 2:54,8.238,35
6/14/16 4:54,8.166,35
6/14/16 6:54,8.021,35
6/14/16 8:54,8.06,35
6/14/16 10:54,8.236,35
6/14/16 12:54,8.266,35
6/14/16 14:54,8.326,35
6/14/16 16:54,8.302,35
6/14/16 18:54,8.092,35
6/14/16 20:54,7.976,35
6/14/16 22:54,8.157,35
6/15/16 0:54,8.323,35
6/15/16 2:54,8.407,35
6/15/16 4:54,8.412,35
6/15/16 6:54,8.176,35
6/15/16 8:54,8.036,35
6/15/16 10:54,8.051,35
6/15/16 12:54,8.239,35
6/15/16 14:54,8.413,35
6/15/16 16:54,8.428,35
6/15/16 18:54,8.281,35
6/15/16 20:54,8.268,35
6/15/16 22:54,8.243,35
6/16/16 0:54,8.335,35
6/16/16 2:54,8.307,35
6/16/16 4:54,8.251,35
6/16/16 6:54,8.361,35
6/16/16 8:54,8.494,35
6/16/16 10:54,8.432,35
6/16/16 12:54,8.403,35
6/16/16 14:54,8.243,35
6/16/16 16:54,8.18,35
6/16/16 18:54,8.202,35
6/16/16 20:54,8.265,35
6/16/16 22:54,8.398,35
6/17/16 0:54,8.416,35
6/17/16 2:54,8.475,35
6/17/16 4:54,8.342,35
6/17/16 6:54,8.214,35
6/17/16 8:54,8.19,35
6/17/16 10:54,8.204,35
6/17/16 12:54,8.39,35
6/17/16 14:54,8.595,35
6/17/16 16:54,8.292,35
6/17/16 18:54,8.207,35
6/17/16 20:54,8.085,35
6/17/16 22:54,8.133,35
6/18/16 0:54,8.278,35
6/18/16 2:54,8.436,35
6/18/16 4:54,8.325,35
6/18/16 6:54,8.19,35
6/18/16 8:54,8.215,35
6/18/16 10:54,8.274,35
6/18/16 12:54,8.653,35
6/18/16 14:54,8.796,35
6/18/16 16:54,8.431,35
6/18/16 18:54,8.252,35
6/18/16 20:54,8.203,35
6/18/16 22:54,8.275,35
6/19/16 0:54,8.474,35
6/19/16 2:54,8.514,35
6/19/16 4:54,8.35,35
6/19/16 6:54,8.266,35
6/19/16 8:54,8.215,35
6/19/16 10:54,8.288,35
6/19/16 12:54,8.407,35
6/19/16 14:54,8.758,35
6/19/16 16:54,8.408,35
6/19/16 18:54,8.133,35
6/19/16 20:54,8.07,35
6/19/16 22:54,8.07,35
6/20/16 0:54,8.061,35
6/20/16 2:54,8.151,35
6/20/16 4:54,8.234,35
6/20/16 6:54,8.079,35
6/20/16 8:54,8.059,35
6/20/16 10:54,8.016,35
6/20/16 12:54,8.246,35
6/20/16 14:54,8.53,35
6/20/16 16:54,8.127,35
6/20/16 18:54,8.11,35
6/20/16 20:54,8.099,35
6/20/16 22:54,8.062,35
6/21/16 0:54,8.09,35
6/21/16 2:54,8.141,35
6/21/16 4:54,8.169,35
6/21/16 6:54,8.133,35
6/21/16 8:54,8.132,35
6/21/16 10:54,8.098,35
6/21/16 12:54,8.106,35
6/21/16 14:54,8.121,35
6/21/16 16:54,8.132,35
6/21/16 18:54,8.189,35
6/21/16 20:54,8.157,35
6/21/16 22:54,8.056,35
6/22/16 0:54,8.025,35
6/22/16 2:54,8.087,35
6/22/16 4:54,8.148,35
6/22/16 6:54,8.121,35
6/22/16 8:54,8.091,35
6/22/16 10:54,7.973,35
6/22/16 12:54,7.986,35
6/22/16 14:54,8.142,35
6/22/16 16:54,8.229,35
6/22/16 18:54,8.249,35
6/22/16 20:54,8.144,35
6/22/16 22:54,8.102,35
6/23/16 0:54,8.06,35
6/23/16 2:54,8.129,35
6/23/16 4:54,8.234,35
6/23/16 6:54,8.305,35
6/23/16 8:54,8.21,35
6/23/16 10:54,8.204,35
6/23/16 12:54,8.194,35
6/23/16 14:54,8.192,35
6/23/16 16:54,8.211,35
6/23/16 18:54,8.215,35
6/23/16 20:54,8.184,35
6/23/16 22:54,8.11,35
6/24/16 0:54,8.102,35
6/24/16 2:54,8.115,35
6/24/16 4:54,8.202,35
6/24/16 6:54,8.311,35
6/24/16 8:54,8.224,35
6/24/16 10:54,8.167,35
6/24/16 12:54,8.119,35
6/24/16 14:54,8.125,35
6/24/16 16:54,8.228,35
6/24/16 18:54,8.369,35
6/24/16 20:54,8.347,35
6/24/16 22:54,8.309,35
6/25/16 0:54,8.259,35
6/25/16 2:54,8.187,35
6/25/16 4:54,8.229,35
6/25/16 6:54,8.348,35
6/25/16 8:54,8.385,35
6/25/16 10:54,8.385,35
6/25/16 12:54,8.36,35
6/25/16 14:54,8.229,35
6/25/16 16:54,8.197,35
6/25/16 18:54,8.238,35
6/25/16 20:54,8.383,35
6/25/16 22:54,8.309,35
6/26/16 0:54,8.243,35
6/26/16 2:54,8.172,35
6/26/16 4:54,8.124,35
6/26/16 6:54,8.103,35
6/26/16 8:54,8.219,35
6/26/16 10:54,8.284,35
6/26/16 12:54,8.143,35
6/26/16 14:54,8.053,35
6/26/16 16:54,8.046,35
6/26/16 18:54,8.055,35
6/26/16 20:54,7.993,35
6/26/16 22:54,7.993,35
6/27/16 0:54,8.009,35
6/27/16 2:54,8.008,35
6/27/16 4:54,7.979,35
6/27/16 6:54,7.979,35
6/27/16 8:54,8.004,35
6/27/16 10:54,8.026,35
6/27/16 12:54,8.025,35
6/27/16 14:54,8.009,35
6/27/16 16:54,7.939,35
6/27/16 18:54,7.923,35
6/27/16 20:54,8.013,35
6/27/16 22:54,8.053,35
6/28/16 0:54,8.03,35
6/28/16 2:54,8.018,35
6/28/16 4:54,7.915,35
6/28/16 6:54,7.902,35
6/28/16 8:54,7.921,35
6/28/16 10:54,8.017,35
6/28/16 12:54,8.028,35
6/28/16 14:54,7.977,35
6/28/16 16:54,7.928,35
6/28/16 18:54,7.931,35
6/28/16 20:54,8.032,35
6/28/16 22:54,8.139,35
6/29/16 0:54,8.01,35
6/29/16 2:54,7.983,35
6/29/16 4:54,7.938,35
6/29/16 6:54,7.928,35
6/29/16 8:54,7.931,35
6/29/16 10:54,7.949,35
6/29/16 12:54,8.051,35
6/29/16 14:54,7.975,35
6/29/16 16:54,7.924,35
6/29/16 18:54,7.905,35
6/29/16 20:54,7.895,35
6/29/16 22:54,7.97,35
6/30/16 0:54,7.969,35
6/30/16 2:54,7.933,35
6/30/16 4:54,7.925,35
6/30/16 6:54,7.922,35
6/30/16 8:54,7.836,35
6/30/16 10:54,7.875,35
6/30/16 12:54,7.933,35
6/30/16 14:54,7.922,35
6/30/16 16:54,7.922,35
6/30/16 18:54,7.825,35
6/30/16 20:54,7.815,35
6/30/16 22:54,7.833,35
7/1/16 0:54,7.935,35
7/1/16 2:54,7.912,35
7/1/16 4:54,7.867,35
7/1/16 6:54,7.825,35
7/1/16 8:54,7.824,35
7/1/16 10:54,7.869,35
7/1/16 12:54,7.946,35
7/1/16 14:54,7.93,35
7/1/16 16:54,7.838,35
7/1/16 18:54,7.855,35
7/1/16 20:54,7.82,35
7/1/16 22:54,7.844,35
7/2/16 0:54,8.086,35
7/2/16 2:54,7.935,35
7/2/16 4:54,7.817,35
7/2/16 6:54,7.82,35
7/2/16 8:54,7.808,35
7/2/16 10:54,7.812,35
7/2/16 12:54,7.998,35
7/2/16 14:54,7.959,35
7/2/16 16:54,7.834,35
7/2/16 18:54,7.795,35
7/2/16 20:54,7.8,35
7/2/16 22:54,7.819,35
7/3/16 0:54,7.935,35
7/3/16 2:54,8.009,35
7/3/16 4:54,7.84,35
7/3/16 6:54,7.801,35
7/3/16 8:54,7.803,35
7/3/16 10:54,7.787,35
7/3/16 12:54,7.825,35
7/3/16 14:54,7.946,35
7/3/16 16:54,7.945,35
7/3/16 18:54,7.773,35
7/3/16 20:54,7.756,35
7/3/16 22:54,7.755,35
7/4/16 0:54,7.794,35
7/4/16 2:54,7.949,35
7/4/16 4:54,7.832,35
7/4/16 6:54,7.755,35
7/4/16 8:54,7.737,35
7/4/16 10:54,7.779,35
7/4/16 12:54,7.801,35
7/4/16 14:54,7.837,35
7/4/16 16:54,7.877,35
7/4/16 18:54,7.774,35
7/4/16 20:54,7.774,35
7/4/16 22:54,7.783,35
7/5/16 0:54,7.801,35
7/5/16 2:54,7.864,35
7/5/16 4:54,7.919,35
7/5/16 6:54,7.805,35
7/5/16 8:54,7.73,35
7/5/16 10:54,7.743,35
7/5/16 12:54,7.726,35
7/5/16 14:54,7.799,35
7/5/16 16:54,7.86,35
7/5/16 18:54,7.804,35
7/5/16 20:54,7.749,35
7/5/16 22:54,7.703,35
7/6/16 0:54,7.706,35
7/6/16 2:54,7.755,35
7/6/16 4:54,7.814,35
7/6/16 6:54,7.784,35
7/6/16 8:54,7.789,35
7/6/16 10:54,7.72,35
7/6/16 12:54,7.696,35
7/6/16 14:54,7.71,35
7/6/16 16:54,7.788,35
7/6/16 18:54,7.793,35
7/6/16 20:54,7.777,35
7/6/16 22:54,7.758,35
7/7/16 0:54,7.732,35
7/7/16 2:54,7.745,35
7/7/16 4:54,7.791,35
7/7/16 6:54,7.806,35
7/7/16 8:54,7.792,35
7/7/16 10:54,7.791,35
7/7/16 12:54,7.788,35
7/7/16 14:54,7.777,35
7/7/16 16:54,7.794,35
7/7/16 18:54,7.883,35
7/7/16 20:54,7.956,35
7/7/16 22:54,7.953,35
7/8/16 0:54,7.886,35
7/8/16 2:54,7.872,35
7/8/16 4:54,7.921,35
7/8/16 6:54,8.043,35
7/8/16 8:54,8.091,35
7/8/16 10:54,8.084,35
7/8/16 12:54,7.956,35
7/8/16 14:54,7.9,35
7/8/16 16:54,7.936,35
7/8/16 18:54,8.041,35
7/8/16 20:54,8.1,35
7/8/16 22:54,8.048,35
7/9/16 0:54,7.995,35
7/9/16 2:54,7.99,35
7/9/16 4:54,8.064,35
7/9/16 6:54,8.21,35
7/9/16 8:54,8.297,35
7/9/16 10:54,8.455,35
7/9/16 12:54,8.298,35
7/9/16 14:54,8.302,35
7/9/16 16:54,8.688,35
7/9/16 18:54,8.909,35
7/9/16 20:54,11.666,35
7/9/16 22:54,12.376,35
7/10/16 0:54,11.811,35
7/10/16 2:54,8.967,35
7/10/16 4:54,9.553,35
7/10/16 6:54,9.762,35
7/10/16 8:54,10.199,35
7/10/16 10:54,11.955,35
7/10/16 12:54,12.189,35
7/10/16 14:54,11.59,35
7/10/16 16:54,8.371,35
7/10/16 18:54,8.516,35
7/10/16 20:54,9.25,35
7/10/16 22:54,10.337,35
7/11/16 0:54,11.393,35
7/11/16 2:54,9.382,35
7/11/16 4:54,8.905,35
7/11/16 6:54,8.753,35
7/11/16 8:54,8.936,35
7/11/16 10:54,8.721,35
7/11/16 12:54,8.658,35
7/11/16 14:54,8.692,35
7/11/16 16:54,8.99,35
7/11/16 18:54,8.636,35
7/11/16 20:54,9.557,35
7/11/16 22:54,8.447,35
7/12/16 0:54,8.057,35
7/12/16 2:54,8.016,35
7/12/16 4:54,8.299,35
7/12/16 6:54,9.941,35
7/12/16 8:54,8.034,35
7/12/16 10:54,8.309,35
7/12/16 12:54,8.054,35
7/12/16 14:54,7.909,35
7/12/16 16:54,8.019,35
7/12/16 18:54,8.652,35
7/12/16 20:54,8.883,35
7/12/16 22:54,8.624,35
7/13/16 0:54,7.999,35
7/13/16 2:54,8.098,35
7/13/16 4:54,8.143,35
7/13/16 6:54,8.696,35
7/13/16 8:54,11.819,35
7/13/16 10:54,8.301,35
7/13/16 12:54,8.021,35
7/13/16 14:54,7.911,35
7/13/16 16:54,7.894,35
7/13/16 18:54,8.109,35
7/13/16 20:54,8.512,35
7/13/16 22:54,10.035,35
7/14/16 0:54,8.326,35
7/14/16 2:54,7.953,35
7/14/16 4:54,7.853,35
7/14/16 6:54,7.906,35
7/14/16 8:54,8.025,35
7/14/16 10:54,8.038,35
7/14/16 12:54,8.022,35
7/14/16 14:54,8.005,35
7/14/16 16:54,8.009,35
7/14/16 18:54,7.947,35
7/14/16 20:54,8.011,35
7/14/16 22:54,7.951,35
7/15/16 0:54,7.851,35
7/15/16 2:54,7.837,35
7/15/16 4:54,7.856,35
7/15/16 6:54,7.891,35
7/15/16 8:54,7.906,35
7/15/16 10:54,7.828,35
7/15/16 12:54,7.922,35
7/15/16 14:54,7.955,35
7/15/16 16:54,7.887,35
7/15/16 18:54,7.797,35
7/15/16 20:54,7.804,35
7/15/16 22:54,7.867,35
7/16/16 0:54,7.891,35
7/16/16 2:54,7.843,35
7/16/16 4:54,7.829,35
7/16/16 6:54,7.811,35
7/16/16 8:54,7.805,35
7/16/16 10:54,7.847,35
7/16/16 12:54,7.838,35
7/16/16 14:54,7.866,35
7/16/16 16:54,7.847,35
7/16/16 18:54,7.774,35
7/16/16 20:54,7.737,35
7/16/16 22:54,7.771,35
7/17/16 0:54,7.825,35
7/17/16 2:54,7.847,35
7/17/16 4:54,7.784,35
7/17/16 6:54,7.751,35
7/17/16 8:54,7.747,35
7/17/16 10:54,7.824,35
7/17/16 12:54,7.848,35
7/17/16 14:54,7.947,35
7/17/16 16:54,7.837,35
7/17/16 18:54,7.774,35
7/17/16 20:54,7.772,35
7/17/16 22:54,7.874,35
7/18/16 0:54,7.948,35
7/18/16 2:54,7.955,35
7/18/16 4:54,7.902,35
7/18/16 6:54,7.852,35
7/18/16 8:54,7.994,35
7/18/16 10:54,7.858,35
7/18/16 12:54,7.897,35
7/18/16 14:54,7.937,35
7/18/16 16:54,7.927,35
7/18/16 18:54,7.919,35
7/18/16 20:54,7.92,35
7/18/16 22:54,7.938,35
7/19/16 0:54,7.959,35
7/19/16 2:54,8.017,35
7/19/16 4:54,8.073,35
7/19/16 6:54,8.017,35
7/19/16 8:54,8.062,35
7/19/16 10:54,7.989,35
7/19/16 12:54,8.012,35
7/19/16 14:54,7.997,35
7/19/16 16:54,8.049,35
7/19/16 18:54,8.039,35
7/19/16 20:54,8.024,35
7/19/16 22:54,8.036,35
7/20/16 0:54,8.059,35
7/20/16 2:54,8.065,35
7/20/16 4:54,8.191,35
7/20/16 6:54,8.174,35
7/20/16 8:54,8.051,35
7/20/16 10:54,8.117,35
7/20/16 12:54,8.025,35
7/20/16 14:54,8.098,35
7/20/16 16:54,8.172,35
7/20/16 18:54,8.092,35
7/20/16 20:54,8.043,35
7/20/16 22:54,8.047,35
7/21/16 0:54,8.074,35
7/21/16 2:54,8.109,35
7/21/16 4:54,8.078,35
7/21/16 6:54,7.813,35
7/21/16 8:54,7.753,35
7/21/16 10:54,7.935,35
7/21/16 12:54,8.038,35
7/21/16 14:54,8.209,35
7/21/16 16:54,8.203,35
7/21/16 18:54,7.806,35
7/21/16 20:54,7.76,35
7/21/16 22:54,7.884,35
7/22/16 0:54,8.075,35
7/22/16 2:54,8.285,35
7/22/16 4:54,8.283,35
7/22/16 6:54,7.908,35
7/22/16 8:54,7.787,35
7/22/16 10:54,7.749,35
7/22/16 12:54,7.84,35
7/22/16 14:54,8.06,35
7/22/16 16:54,8.225,35
7/22/16 18:54,8.041,35
7/22/16 20:54,7.88,35
7/22/16 22:54,7.847,35
7/23/16 0:54,7.855,35
7/23/16 2:54,7.961,35
7/23/16 4:54,8.014,35
7/23/16 6:54,7.864,35
7/23/16 8:54,7.762,35
7/23/16 10:54,7.799,35
7/23/16 12:54,7.899,35
7/23/16 14:54,7.951,35
7/23/16 16:54,7.989,35
7/23/16 18:54,8.05,35
7/23/16 20:54,7.834,35
7/23/16 22:54,7.822,35
7/24/16 0:54,7.744,35
7/24/16 2:54,7.755,35
7/24/16 4:54,8.004,35
7/24/16 6:54,7.897,35
7/24/16 8:54,7.867,35
7/24/16 10:54,7.757,35
7/24/16 12:54,7.655,35
7/24/16 14:54,7.818,35
7/24/16 16:54,7.894,35
7/24/16 18:54,8.106,35
7/24/16 20:54,7.874,35
7/24/16 22:54,7.652,35
7/25/16 0:54,7.608,35
7/25/16 2:54,7.612,35
7/25/16 4:54,7.659,35
7/25/16 6:54,7.801,35
7/25/16 8:54,7.664,35
7/25/16 10:54,7.68,35
7/25/16 12:54,7.641,35
7/25/16 14:54,7.6,35
7/25/16 16:54,7.601,35
7/25/16 18:54,7.699,35
7/25/16 20:54,7.662,35
7/25/16 22:54,7.683,35
7/26/16 0:54,7.684,35
7/26/16 2:54,7.635,35
7/26/16 4:54,7.622,35
7/26/16 6:54,7.643,35
7/26/16 8:54,7.75,35
7/26/16 10:54,7.661,35
7/26/16 12:54,7.64,35
7/26/16 14:54,7.609,35
7/26/16 16:54,7.607,35
7/26/16 18:54,7.677,35
7/26/16 20:54,7.727,35
7/26/16 22:54,7.651,35
7/27/16 0:54,7.609,35
7/27/16 2:54,7.593,35
7/27/16 4:54,7.573,35
7/27/16 6:54,7.588,35
7/27/16 8:54,7.613,35
7/27/16 10:54,7.67,35
7/27/16 12:54,7.688,35
7/27/16 14:54,7.604,35
7/27/16 16:54,7.602,35
7/27/16 18:54,7.608,35
7/27/16 20:54,7.67,35
7/27/16 22:54,7.649,35
7/28/16 0:54,7.64,35
7/28/16 2:54,7.593,35
7/28/16 4:54,7.561,35
7/28/16 6:54,7.545,35
7/28/16 8:54,7.538,35
7/28/16 10:54,7.607,35
7/28/16 12:54,7.58,35
7/28/16 14:54,7.595,35
7/28/16 16:54,7.602,35
7/28/16 18:54,7.582,35
7/28/16 20:54,7.601,35
7/28/16 22:54,7.573,35
7/29/16 0:54,7.565,35
7/29/16 2:54,7.529,35
7/29/16 4:54,7.53,35
7/29/16 6:54,7.491,35
7/29/16 8:54,7.492,35
7/29/16 10:54,7.53,35
7/29/16 12:54,7.633,35
7/29/16 14:54,7.59,35
7/29/16 16:54,7.561,35
7/29/16 18:54,7.506,35
7/29/16 20:54,7.507,35
7/29/16 22:54,7.517,35
7/30/16 0:54,7.65,35
7/30/16 2:54,7.573,35
7/30/16 4:54,7.516,35
7/30/16 6:54,7.488,35
7/30/16 8:54,7.488,35
7/30/16 10:54,7.509,35
7/30/16 12:54,7.561,35
7/30/16 14:54,7.693,35
7/30/16 16:54,7.584,35
7/30/16 18:54,7.539,35
7/30/16 20:54,7.48,35
7/30/16 22:54,7.488,35
7/31/16 0:54,7.517,35
7/31/16 2:54,7.561,35
7/31/16 4:54,7.537,35
7/31/16 6:54,7.508,35
7/31/16 8:54,7.478,35
7/31/16 10:54,7.466,35
7/31/16 12:54,7.47,35
7/31/16 14:54,7.557,35
7/31/16 16:54,7.518,35
7/31/16 18:54,7.508,35
7/31/16 20:54,7.482,35
7/31/16 22:54,7.519,35
8/1/16 0:54,7.469,35
8/1/16 2:54,7.489,35
8/1/16 4:54,7.498,35
8/1/16 6:54,7.47,35
8/1/16 8:54,7.454,35
8/1/16 10:54,7.45,35
8/1/16 12:54,7.454,35
8/1/16 14:54,7.471,35
8/1/16 16:54,7.485,35
8/1/16 18:54,7.472,35
8/1/16 20:54,7.454,35
8/1/16 22:54,7.442,35
8/2/16 0:54,7.454,35
8/2/16 2:54,7.494,35
8/2/16 4:54,7.505,35
8/2/16 6:54,7.495,35
8/2/16 8:54,7.479,35
8/2/16 10:54,7.452,35
8/2/16 12:54,7.447,35
8/2/16 14:54,7.491,35
8/2/16 16:54,7.519,35
8/2/16 18:54,7.505,35
8/2/16 20:54,7.462,35
8/2/16 22:54,7.469,35
8/3/16 0:54,7.457,35
8/3/16 2:54,7.5,35
8/3/16 4:54,7.514,35
8/3/16 6:54,7.498,35
8/3/16 8:54,7.458,35
8/3/16 10:54,7.456,35
8/3/16 12:54,7.437,35
